Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,AN,0,0,0,0,3290000000.0,9780000000.0,8.41,8.8,1.07,0.15,1.21,0.46,10.91,1.85,3.41,4.35,15.57,21410000000.0,235.56,-4.8,,895700000.0,395900000.0,4.34,-38.7,48600000.0,0.54,6600000000.0,242.94,0.86,30.17,511000000.0,-109190000.0,1.06,35.07,37.33,90060000.0,90060000.0,59740000.0,13.64,87.16,5990000.0,5.57,11.17,4190000.0000000005
0,0,FLWS,0,0,0,0,1190000000.0,1040000000.0,35.83,33.62,4.08,0.98,3.33,0.86,12.89,2.86,4.06,4.6,10.08,1210000000.0,18.75,8.6,489020000.0,80650000.0,34630000.0,0.52,-3.0,257680000.0,4.02,98470000.0,27.65,1.92,5.55,83760000.0,36580000.0,1.04,18.04,14.01,35620000.0,35620000.0,21600000.0,32.09,60.04,1630000.0,4.57,6.63,1390000.0
0,0,COST,0,0,0,0,108440000000.0,107850000000.0,31.65,28.97,2.84,0.74,7.83,0.73,17.66,2.34,3.17,7.16,26.63,147240000000.0,335.29,7.3,18420000000.0,6110000000.0,3450000000.0,7.79,26.8,7120000000.0,16.19,6490000000.0,45.77,0.96,31.5,5620000000.0,2270000000.0,1.07,229.83,222.45,2140000.0,439880000.0,433260000.0,0.52,73.49,5650000.0,2.18,1.28,4470000.0
0,0,ORLY,0,0,0,0,31510000000.0,34820000000.0,24.97,20.29,1.39,3.3,89.85,3.65,16.7,13.89,19.15,14.68,263.13,9540000000.0,117.15,5.7,5040000000.0,2089999999.9999998,1320000000.0,16.1,-0.6,31320000.0,0.4,3420000000.0,966.2,0.91,4.47,1730000000.0,929790000.0,0.94,378.37,352.91,78390000.0,78390000.0,76840000.0,2.17,87.97,1240000.0,1.98,1.61,1290000.0
0,0,CBG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,R,0,0,0,0,3470000000.0,9990000000.0,12.6,9.68,0.71,0.41,1.19,1.19,4.93,3.25,7.91,3.39,9.58,8410000000.0,160.51,16.9,1580000000.0,2029999999.9999998,274610000.0,5.17,-83.1,68110000.0,1.28,6620000000.0,227.59,0.68,54.79,1630000000.0,-1060000000.0,1.98,61.62,58.89,53270000.0,53270000.0,51960000.0,2.02,91.39,2640000.0,3.98,6.6,2790000.0
0,0,TMK,0,0,0,0,9430000000.0,10890000000.0,14.03,12.1,1.7,2.19,1.75,2.53,11.26,16.3,22.16,2.56,12.05,4300000000.0,38.13,0.7,1230000000.0,966750000.0,701510000.0,6.09,-84.0,184310000.0,1.67,1670000000.0,30.75,1.18,48.92,1280000000.0,1110000000.0,1.1,82.63,82.78,110310000.0,110310000.0,101470000.0,1.84,78.74,3990000.0,7.98,4.18,3900000.0
0,0,NWL,0,0,0,0,6670000000.0,13260000000.0,,10.72,-0.31,0.77,1.27,1.54,14.44,-80.15,6.51,1.38,-69.78,8630000000.0,18.22,-6.0,3010000000.0,918200000.0,-6790000000.0,-14.6,-87.4,495700000.0,1.17,7020000000.0,132.91,2.33,12.4,680000000.0,1870000000.0,1.1,15.9,19.16,6850000.0,423080000.0,419640000.0,0.76,101.27,39600000.0,3.74,9.13,37440000.0
0,0,GILD,0,0,0,0,85900000000.0,82910000000.0,16.16,9.72,-2.76,3.88,4.04,3.75,7.93,24.65,40.76,8.42,25.98,22130000000.0,17.05,-2.6,17270000000.0,10450000000.0,5460000000.0,4.17,,30710000000.0,24.08,27320000000.0,126.88,3.38,16.68,8400000000.0,6470000000.0,1.23,65.03,68.56,7270000.0,1270000000.0,1270000000.0,0.7,82.62,11350000.0,1.62,0.89,12950000.0
0,0,BLL,0,0,0,0,19450000000.0,25540000000.0,45.12,19.21,1.49,1.67,5.64,2.19,13.97,3.9,9.68,4.17,11.91,11640000000.0,33.74,2.0,2310000000.0,1830000000.0,454000000.0,1.29,-5.0,721000000.0,2.16,6730000000.0,188.91,0.96,10.31,1570000000.0,789630000.0,0.48,56.58,49.91,2550000.0,334170000.0,330540000.0,0.92,89.15,12430000.0,5.07,4.87,15470000.0
